rank,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,mcc
1,CatBoost,0.9166666666666666,0.8914050437467833,0.8888888888888888,0.8275862068965517,0.8571428571428571,0.9871332990221307,0.25454791914177755,0.7994409422991896
2,Hybrid XGB-CatBoost (opt),0.9166666666666666,0.8914050437467833,0.8888888888888888,0.8275862068965517,0.8571428571428571,0.9840452907874421,0.24446282948551848,0.7994409422991896
3,Hybrid XGB-CatBoost (50/50),0.9166666666666666,0.8914050437467833,0.8888888888888888,0.8275862068965517,0.8571428571428571,0.9814719505918682,0.2404299210909943,0.7994409422991896
4,XGBoost,0.9166666666666666,0.8914050437467833,0.8888888888888888,0.8275862068965517,0.8571428571428571,0.9737519300051467,0.2494086356552693,0.7994409422991896
5,Voting (RF+XGB+Cat),0.9166666666666666,0.8914050437467833,0.8888888888888888,0.8275862068965517,0.8571428571428571,0.9691199176531138,0.23846776799834948,0.7994409422991896
6,Gradient Boosting,0.90625,0.8839423571796192,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.9655172413793104,0.6687200928111711,0.7757092152812548
7,Random Forest,0.9166666666666666,0.8914050437467833,0.8888888888888888,0.8275862068965517,0.8571428571428571,0.9377251672671127,0.2710643847504925,0.7994409422991896
8,Logistic Regression,0.8541666666666666,0.8172928461142563,0.7777777777777778,0.7241379310344828,0.75,0.9063304168811117,0.5380046314703713,0.6480675094378046
9,SVM (RBF),0.8645833333333334,0.8247555326814204,0.8076923076923077,0.7241379310344828,0.7636363636363637,0.8811116829644879,0.4083468356350221,0.6711000336858394
10,Decision Tree,0.8958333333333334,0.8764796706124549,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8764796706124549,1.6789683865855773,0.7529593412249099
11,KNN (k=5),0.7916666666666666,0.7138445702521874,0.7142857142857143,0.5172413793103449,0.6,0.8383942357179618,0.946156680965402,0.4750336166945737
