feature,xgb_importance,cat_importance,hybrid_importance
controversy_risk_ratio_scaled,0.036053862,19.742216505326823,0.9999999999949348
esg_controversy_divergence,0.09006825,19.72252219205161,0.9990024264312065
controversy_risk_ratio,0.1349738,17.18834277055447,0.8706389561592371
greenwashing_signal_score,0.020154174,6.3470467510763635,0.32149615770507134
esg_controversy_divergence_scaled,0.024285605,4.443861496880863,0.22509435532020003
controversy_iqr_outlier,0.03775903,1.6634176234823084,0.08425688285938214
esg_mad_score,0.011930053,1.4085210200589744,0.07134563738938808
esg_mad_score_scaled,0.0077106874,1.2632461086606392,0.0639870456447174
risk_controversy_gap,0.0,1.2106379482046699,0.06132229113543987
future_language_density,0.022090944,1.0888700313429938,0.05515439621704486
esg_percentile_rank_scaled,0.0,0.8414886636955758,0.042623819035935706
esg_score_zscore_scaled,0.0,0.7211413863890694,0.03652788359355897
factual_intent_density,0.004629179,0.694766879816251,0.03519193904216736
esg_score_zscore,0.0,0.6785925696625761,0.03437266375211931
ESG_Risk_Level_Encoded,0.0,0.6186270663000983,0.03133523868153546
total_esg_risk_score,0.0023257511,0.5808769906007472,0.029423088863455293
readability_greenwashing_interaction,0.014952952,0.5803513633837216,0.029396464334396914
esg_percentile_rank,0.0,0.5632867649581322,0.02853209338491925
vague_to_concrete_ratio,0.0,0.5581134739145024,0.02827005132686524
controversy_iqr_outlier_scaled,0.0,0.5135656818266652,0.026013577638837774
long_word_ratio,0.004524161,0.513206530235552,0.025995385578639545
social_risk_bin,0.0,0.4639526009234569,0.023500532515987944
controversy_mad_score,0.031082733,0.4634308729645993,0.023474105495561226
text_sentiment_strength,0.0025475353,0.4605474797451893,0.02332805334287526
env_controversy_interaction,0.00783427,0.4509877874092236,0.022843827453986953
esg_sector_std,0.0048967064,0.4374140000276649,0.022156276115573283
controversy_vs_sector_scaled,0.01802745,0.42588044616853915,0.021572068468171817
controversy_vs_sector,0.023883527,0.39435776736042794,0.019975354198553404
esg_squared,0.0012099688,0.3828918128201247,0.019394570650913174
esg_pillar_mean,0.03309296,0.3644608347572078,0.018460988646184857
future_language_count,0.0,0.3578118300581703,0.018124197450666873
combined_anomaly_score_scaled,0.0,0.329938314082964,0.016712323765280823
sector_risk_segment_encoded,0.0032731039,0.3100450785110634,0.015704674215574373
esg_squared_scaled,0.0,0.30631718564573707,0.01551584572895021
social_controversy_interaction_scaled,0.0053013,0.2999409048115025,0.015192868780922016
sector_percentile,0.0024991387,0.29797660573552953,0.015093371387838873
policy_specificity_score,0.0,0.28810299614725204,0.014593244688004364
risk_concentration_index,0.0016443662,0.2820127413189449,0.01428475577914081
weakest_pillar_weakness,0.0,0.2537795054451339,0.012854661247148918
sector_percentile_scaled,0.0,0.25160737324084964,0.012744636508858403
sector_max_esg,0.0,0.24970350367860555,0.012648200044304348
dominant_pillar_strength,0.0,0.24444291214415018,0.012381735965511101
avg_word_length,0.012338015,0.24371678738708527,0.0123449556598719
controversy_zscore,0.0,0.2361460627150123,0.011961476698935982
capitalized_word_ratio,0.0017064626,0.2355249279696545,0.011930014439103756
env_social_ratio_scaled,0.0,0.23476040825621292,0.011891289318586948
sector_esg_spread,0.0,0.22961455073833353,0.011630636847449026
esg_sector_std_scaled,0.003028695,0.22938543922772336,0.011619031691029675
controversy_mad_score_scaled,0.0,0.2193988891454344,0.011113184230611854
controversy_adjusted_risk,0.010251418,0.21856749884055512,0.011071071922470022
imbalance_controversy_interact,0.0017256676,0.21642792039162267,0.010962696125439111
sentence_count,0.0,0.21633883012744903,0.010958183447536447
controversy_zscore_scaled,0.0,0.21515340506018976,0.01089813826127616
pillar_imbalance_score,0.0,0.20362201981845823,0.010314040460577757
policy_sentiment_interaction,0.0,0.19346903803336285,0.009799762756131323
present_action_density,0.00439124,0.18886266327539233,0.00956643663711605
env_to_total_ratio,0.0035750507,0.18876516264971913,0.009561497950234239
vocabulary_intent_interaction,0.0046479423,0.18600361853936404,0.00942161780508458
controversy_squared,0.0,0.1819435380947988,0.009215963062951185
industry_frequency,0.0,0.1805955227540389,0.009147682212095894
cross_risk_bin,0.016806638,0.17822313869970968,0.009027514142128821
commitment_credibility_score,0.0035978544,0.17400324770390194,0.008813764536320996
gov_to_total_ratio_scaled,0.0029296638,0.1711138058327324,0.008667406002041154
total_policy_density,0.0,0.1699763294400093,0.008609789553938155
news_greenwashing_signal,0.0,0.16997226400334775,0.00860958362788824
combined_anomaly_score,0.021261463,0.16396572288976285,0.008305335059246832
policy_esg_gap,0.0018119476,0.16092436208982325,0.008151281394649263
env_controversy_interaction_scaled,0.0036988945,0.1591013043703182,0.008058938282162177
esg_pillar_mean_scaled,0.034505084,0.15761316181037027,0.007983559584965797
total_esg_keyword_density,0.015648963,0.15596530967208194,0.00790009113866265
social_gov_ratio,0.005688719,0.14716004676874694,0.007454079268571236
hedge_language_count,0.0,0.145409627452134,0.00736541549993453
gov_risk_bin,0.0,0.1451342397926602,0.007351466323589609
esg_pillar_variance_scaled,0.0014911905,0.14389617045205097,0.007288754553598184
temporal_balance_score,0.0,0.14298718065287452,0.007242711608069419
total_word_count,0.0013128528,0.13677365957972734,0.006927978909669562
number_density,0.02162785,0.13092017985224094,0.006631483340092692
year_mention_density,0.0028004686,0.1288964121611105,0.006528973690754477
social_gov_ratio_scaled,0.0,0.12737770121588457,0.006452046616998171
pillar_range_normalized_scaled,0.0,0.12614995610435606,0.006389857798878836
esg_keyword_balance,0.0,0.12417457540987946,0.006289799089972793
esg_sector_mean_scaled,0.0,0.1187020223458635,0.006012598550584946
progress_to_promise_ratio,0.0,0.113665091782269,0.005757463542709314
strategic_intent_density,0.0,0.11266630031984685,0.00570687188487051
hapax_legomena_ratio,0.0025320128,0.11121443850634143,0.005633330911742881
pillar_range_normalized,0.0,0.11119789323266747,0.005632492846084478
avg_word_frequency,0.0,0.11099587152649593,0.0056222598661090015
gunning_fog_index,0.00873175,0.11033405424598071,0.005588736918960018
framework_consistency_score,0.0,0.11015881533119876,0.005579860564335208
tcfd_alignment,0.0,0.1069236958526777,0.005415992465855396
sector_rank_scaled,0.0,0.10528602553015615,0.005333039757780728
esg_linguistic_credibility_index,0.0,0.10240118092399123,0.005186914088184716
hedge_language_density,0.0,0.10230835878856251,0.0051822123802785554
regulatory_breadth_index,0.0,0.0990285727176484,0.005016081790533855
eu_taxonomy_alignment,0.008655408,0.09714917891665416,0.004920885093624082
industry_proportion,0.0,0.09333551815511694,0.00472771221658219
gov_controversy_interaction_scaled,0.0,0.09212345620596962,0.004666317795706797
controversy_squared_scaled,0.0,0.09048986431054842,0.0045835716716851015
gov_risk_score,0.0,0.08795994856794373,0.00445542416900174
social_to_total_ratio_scaled,0.0036026,0.08742044375874317,0.004428096700019103
defensive_to_factual_ratio,0.0,0.08462658052456849,0.004286579498371219
gov_controversy_interaction,0.005056916,0.08349183030362944,0.004229101138703391
sentence_length_variance,0.0034940096,0.0801963058854079,0.004062173356439648
controversy_bin,0.0,0.07909962008081124,0.004006623068846804
temporal_greenwashing_signal,0.0,0.07903895159926758,0.004003550035911166
esg_pillar_skewness,0.0025995455,0.07847742706923193,0.003975107204789276
social_controversy_interaction,0.025636464,0.07641934814258045,0.003870859592770345
long_sentence_ratio,0.0,0.07524153007067727,0.003811199722685372
controversy_adjusted_risk_scaled,0.0,0.07439977560548125,0.003768562440039594
sector_high_risk_ratio,0.0,0.07078811497968228,0.0035856214503687442
esg_sector_zscore,0.004610272,0.06553790126573342,0.0033196830380073125
weakest_pillar_weakness_scaled,0.0,0.06357379138885545,0.0032201952284020403
gov_keyword_density,0.0042222864,0.060499336621975645,0.0030644652592754893
sector_min_esg,0.0,0.05776323128763492,0.00292587366123539
esg_pillar_cv_scaled,0.004390657,0.05547389856793342,0.0028099123800351664
esg_sector_mean,0.0396104,0.054946134761271616,0.002783179626571707
temporal_specificity_ratio,0.0,0.05440976583082003,0.0027560109988594064
text_positive_ratio,0.0041093705,0.05239924893903259,0.0026541725405872674
imbalance_controversy_interact_scaled,0.00415207,0.05213069420164825,0.0026405694713822207
esg_sector_zscore_scaled,0.0,0.05064465648956666,0.0025652973907790574
esg_vs_sector_mean,0.004288107,0.04751761616394003,0.002406903811984748
Controversy_Level_Encoded,0.0,0.047406897195394364,0.0024012955780503653
risk_concentration_index_scaled,0.0,0.04709378976878799,0.0023854357871033707
text_pos_neg_ratio,0.0,0.0462528790864954,0.0023428412444864645
evidence_readability_interaction,0.0,0.04465793128935596,0.002262052555095838
esg_pillar_cv,0.0,0.044123124400560744,0.0022349630492823334
regulatory_readiness_score,0.0013564929,0.04387454169050382,0.002222371620655837
env_dominance_flag,0.0,0.04324083474576665,0.002190272542795812
pillar_imbalance_score_scaled,0.0,0.04320212725575898,0.0021883118971916557
esg_pillar_variance,0.0020107487,0.042008355490225815,0.0021278439266775536
env_keyword_density,0.019737892,0.041653446387690966,0.0021098667607176275
esg_vs_sector_mean_scaled,0.0,0.041037973135853986,0.0020786912718018923
pillar_max_min_gap,0.0,0.0393091127873961,0.001991119526857111
env_risk_score,0.0044582365,0.039118262653455485,0.0019814524191193272
esg_risk_residual_scaled,0.0,0.037766938248210646,0.0019130039546384832
text_polarity,0.008901889,0.03469587648426337,0.0017574458508610737
sector_proportion,0.0015470312,0.03357217006982729,0.0017005268917296512
pillar_max_min_gap_scaled,0.002520833,0.03354045372084464,0.0016989203675091347
esg_pillar_skewness_scaled,0.0016008667,0.032601971486808,0.001651383545401107
env_to_total_ratio_scaled,0.0,0.029721122107488226,0.0015054602455260462
flesch_reading_ease,0.0,0.028479506827345707,0.001442568863507152
sector_rank,0.0047785915,0.027681810965442546,0.0014021632757311346
sdg_alignment,0.0022691884,0.0273658158096908,0.0013861572130043438
risk_per_pillar_point,0.0,0.026866570129590865,0.001360868984604929
unique_word_count,0.010822452,0.026858044663436845,0.0013604371452442534
env_risk_bin,0.0,0.02627086625154092,0.00133069487128355
social_risk_score,0.0,0.02625005281277142,0.0013296406107974601
risk_per_pillar_point_scaled,0.0,0.02481574297765447,0.0012569886958150324
gov_to_total_ratio,0.0041986066,0.023092274050174465,0.001169690041836324
high_risk_flag,0.0,0.02299362750999601,0.0011646933110917624
multi_signal_greenwashing_score,0.0023095668,0.02259163823580959,0.0011443313991415052
controversy_sector_mean,0.0017129754,0.021989217042235578,0.001113817034485013
high_controversy_flag,0.0,0.021559213155830113,0.0010920361019191452
text_negative_ratio,0.0,0.020941508709929717,0.0010607475966122259
top_word_concentration,0.009184107,0.020098898945789614,0.0010180669906170235
dominant_pillar_strength_scaled,0.0,0.019754776528930082,0.0010006362012846839
social_keyword_count,0.0,0.01849409749547496,0.0009367791853762331
esg_performance_tier,0.0,0.018184911737745568,0.0009211180382277149
avg_sentence_length,0.0024441022,0.017293570729999326,0.0008759690547029305
env_gov_ratio,0.0074541257,0.016735432313613435,0.0008476977399682113
claim_credibility_ratio,0.0,0.01665350173856222,0.0008435477208946846
intent_diversity_score,0.0,0.01563196921112863,0.0007918041627611393
policy_temporal_alignment,0.0015910745,0.015424851160164118,0.0007813130382763289
esg_controversy_segment_encoded,0.0013721571,0.014287122960136003,0.0007236838354097018
gov_keyword_count,0.0,0.013154508194815015,0.0006663136427056734
promotional_intent_density,0.0,0.012784605676958827,0.000647577017172542
vague_language_density,0.0,0.012277156010919379,0.0006218732333091669
promotional_dominance_score,0.0,0.01227596272851839,0.0006218127901263732
sentiment_intent_divergence,0.0,0.011562480719274897,0.0005856728759962973
env_keyword_count,0.0023731275,0.009261552024123057,0.0004691242253156936
narrative_credibility_index,0.0,0.009093966755751118,0.0004606355498761414
sector_frequency,0.0030713233,0.008018238274202574,0.0004061468109215846
total_esg_keyword_count,0.004823777,0.006166452387557182,0.00031234853421155227
credibility_confidence_interval,0.002612741,0.005657420377746405,0.00028656460008891454
temporal_policy_interaction,0.0023135913,0.0044042685608079975,0.00022308885932829955
specific_future_density,0.0,0.0042267664455734166,0.00021409786709671356
sec_climate_alignment,0.0045774197,0.003227771521274229,0.00016349590332914068
esg_risk_bin,0.0,0.002557483055839509,0.00012954386631999995
social_to_total_ratio,0.0020055005,0.0015152215792208045,7.675032734061518e-05
past_achievement_density,0.0057539386,0.0011429852523364924,5.789548767344862e-05
social_keyword_density,0.0,0.0007637212258557037,3.8684674825938054e-05
narrative_consistency_score,0.0,0.0001824746824862794,9.242867052750638e-06
env_social_ratio,0.0,0.00016059336358981375,8.134515369420105e-06
esg_risk_residual,0.0011043091,0.0,0.0
controversy_score,0.020870771,0.0,0.0
env_gov_ratio_scaled,0.0013395728,0.0,0.0
esg_iqr_outlier,0.0,0.0,0.0
env_dominance_flag_scaled,0.0,0.0,0.0
lexical_diversity,0.005374175,0.0,0.0
paris_agreement_alignment,0.0,0.0,0.0
exclamation_count,0.0,0.0,0.0
short_sentence_ratio,0.0,0.0,0.0
concrete_evidence_count,0.0,0.0,0.0
superlative_count,0.0,0.0,0.0
superlative_density,0.0,0.0,0.0
concrete_evidence_density,0.0,0.0,0.0
vague_language_count,0.006219379,0.0,0.0
dominant_keyword_pillar,0.0,0.0,0.0
esg_iqr_outlier_scaled,0.0,0.0,0.0
syllable_ratio,0.0,0.0,0.0
gri_standards_alignment,0.0,0.0,0.0
vague_future_density,0.0,0.0,0.0
defensive_intent_density,0.0,0.0,0.0
aggregate_esg_nlp_score,0.0,0.0,0.0
risk_controversy_mismatch,0.0,0.0,0.0
